order_n,order_label,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
5,5×5,3,21,,2.85,Simul_-30deg,22.9,7.57,,2.8499999999999996,0.0,-6.65,2.0
5,5×5,3,21,,2.85,Simul_-60deg,19.2,6.33,,2.8499999999999996,0.0,-6.65,2.0
5,5×5,4,21,,3.8,Simul_+60deg,9.3,3.11,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_+30deg,4.9,1.94,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_+0deg,12.8,4.24,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_-30deg,26.1,8.66,,3.8,0.0,-5.699999999999999,2.0
5,5×5,4,21,,3.8,Simul_-60deg,16.2,5.38,,3.8,0.0,-5.699999999999999,2.0
5,5×5,5,21,,4.75,Simul_+60deg,10.5,3.54,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_+30deg,8.6,2.96,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_+0deg,12.1,4.01,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_-30deg,28.5,9.46,,4.75,0.0,-4.75,2.0
5,5×5,5,21,,4.75,Simul_-60deg,15.7,4.94,,4.75,0.0,-4.75,2.0
5,5×5,6,21,,5.7,Simul_+60deg,12.5,4.13,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_+30deg,9.8,3.3,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_+0deg,13.9,4.57,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_-30deg,29.5,9.81,,5.699999999999999,0.0,-3.8,2.0
5,5×5,6,21,,5.7,Simul_-60deg,16.6,5.45,,5.699999999999999,0.0,-3.8,2.0
5,5×5,7,21,,6.65,Simul_+60deg,11.2,3.76,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_+30deg,11.0,3.71,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_+0deg,20.1,6.62,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_-30deg,28.7,9.55,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,7,21,,6.65,Simul_-60deg,13.4,4.4,,6.6499999999999995,0.0,-2.8500000000000005,2.0
5,5×5,8,21,,7.6,Simul_+60deg,10.2,3.43,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_+30deg,10.5,3.54,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_+0deg,26.5,8.8,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_-30deg,23.6,7.83,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,8,21,,7.6,Simul_-60deg,13.1,4.37,,7.6,0.0,-1.8999999999999995,2.0
5,5×5,9,21,,8.55,Simul_+60deg,8.8,3.03,,8.549999999999999,0.0,-0.9499999999999993,2.0
5,5×5,9,21,,8.55,Simul_+30deg,13.3,4.43,,8.549999999999999,0.0,-0.9499999999999993,2.0
5,5×5,9,21,,8.55,Simul_+0deg,29.9,9.92,,8.549999999999999,0.0,-0.9499999999999993,2.0
5,5×5,9,21,,8.55,Simul_-30deg,20.9,6.95,,8.549999999999999,0.0,-0.9499999999999993,2.0
5,5×5,9,21,,8.55,Simul_-60deg,10.5,3.58,,8.549999999999999,0.0,-0.9499999999999993,2.0
5,5×5,10,21,,9.5,Simul_+60deg,10.6,3.52,,9.5,0.0,0.0,2.0
5,5×5,10,21,,9.5,Simul_+30deg,12.5,4.1,,9.5,0.0,0.0,2.0
5,5×5,10,21,,9.5,Simul_+0deg,31.4,10.43,,9.5,0.0,0.0,2.0
5,5×5,10,21,,9.5,Simul_-30deg,12.5,4.1,,9.5,0.0,0.0,2.0
5,5×5,10,21,,9.5,Simul_-60deg,10.5,3.51,,9.5,0.0,0.0,2.0
5,5×5,11,21,,10.45,Simul_+60deg,10.4,3.55,,10.45,0.0,0.9500000000000011,2.0
5,5×5,11,21,,10.45,Simul_+30deg,20.9,6.95,,10.45,0.0,0.9500000000000011,2.0
5,5×5,11,21,,10.45,Simul_+0deg,29.9,9.92,,10.45,0.0,0.9500000000000011,2.0
5,5×5,11,21,,10.45,Simul_-30deg,13.3,4.44,,10.45,0.0,0.9500000000000011,2.0
5,5×5,11,21,,10.45,Simul_-60deg,8.7,3.01,,10.45,0.0,0.9500000000000011,2.0
5,5×5,12,21,,11.4,Simul_+60deg,13.0,4.33,,11.399999999999999,0.0,1.9000000000000004,2.0
5,5×5,12,21,,11.4,Simul_+30deg,23.6,7.83,,11.399999999999999,0.0,1.9000000000000004,2.0
5,5×5,12,21,,11.4,Simul_+0deg,26.4,8.76,,11.399999999999999,0.0,1.9000000000000004,2.0
5,5×5,12,21,,11.4,Simul_-30deg,10.6,3.56,,11.399999999999999,0.0,1.9000000000000004,2.0
5,5×5,12,21,,11.4,Simul_-60deg,10.2,3.45,,11.399999999999999,0.0,1.9000000000000004,2.0
5,5×5,13,21,,12.35,Simul_+60deg,13.4,4.41,,12.35,0.0,2.8499999999999996,2.0
5,5×5,13,21,,12.35,Simul_+30deg,28.7,9.54,,12.35,0.0,2.8499999999999996,2.0
5,5×5,13,21,,12.35,Simul_+0deg,19.9,6.56,,12.35,0.0,2.8499999999999996,2.0
5,5×5,13,21,,12.35,Simul_-30deg,11.0,3.72,,12.35,0.0,2.8499999999999996,2.0
5,5×5,13,21,,12.35,Simul_-60deg,11.2,3.78,,12.35,0.0,2.8499999999999996,2.0
5,5×5,14,21,,13.3,Simul_+60deg,16.6,5.45,,13.299999999999999,0.0,3.799999999999999,2.0
5,5×5,14,21,,13.3,Simul_+30deg,29.5,9.81,,13.299999999999999,0.0,3.799999999999999,2.0
5,5×5,14,21,,13.3,Simul_+0deg,13.7,4.49,,13.299999999999999,0.0,3.799999999999999,2.0
5,5×5,14,21,,13.3,Simul_-30deg,9.8,3.31,,13.299999999999999,0.0,3.799999999999999,2.0
5,5×5,14,21,,13.3,Simul_-60deg,12.6,4.16,,13.299999999999999,0.0,3.799999999999999,2.0
5,5×5,15,21,,14.25,Simul_+60deg,15.7,4.93,,14.25,0.0,4.75,2.0
5,5×5,15,21,,14.25,Simul_+30deg,28.5,9.46,,14.25,0.0,4.75,2.0
5,5×5,15,21,,14.25,Simul_+0deg,11.9,3.94,,14.25,0.0,4.75,2.0
5,5×5,15,21,,14.25,Simul_-30deg,8.6,2.96,,14.25,0.0,4.75,2.0
5,5×5,15,21,,14.25,Simul_-60deg,10.6,3.56,,14.25,0.0,4.75,2.0
5,5×5,16,21,,15.2,Simul_+60deg,16.2,5.38,,15.2,0.0,5.700000000000001,2.0
5,5×5,16,21,,15.2,Simul_+30deg,26.1,8.66,,15.2,0.0,5.700000000000001,2.0
5,5×5,16,21,,15.2,Simul_+0deg,12.9,4.29,,15.2,0.0,5.700000000000001,2.0
5,5×5,16,21,,15.2,Simul_-30deg,4.9,1.93,,15.2,0.0,5.700000000000001,2.0
5,5×5,16,21,,15.2,Simul_-60deg,9.5,3.17,,15.2,0.0,5.700000000000001,2.0
5,5×5,17,21,,16.15,Simul_+60deg,19.2,6.32,,16.15,0.0,6.649999999999999,2.0
5,5×5,17,21,,16.15,Simul_+30deg,22.9,7.57,,16.15,0.0,6.649999999999999,2.0
5,5×5,17,21,,16.15,Simul_+0deg,9.9,3.31,,16.15,0.0,6.649999999999999,2.0
5,5×5,17,21,,16.15,Simul_-30deg,4.6,1.89,,16.15,0.0,6.649999999999999,2.0
5,5×5,17,21,,16.15,Simul_-60deg,9.4,3.16,,16.15,0.0,6.649999999999999,2.0
5,5×5,18,21,,17.1,Simul_+60deg,21.8,7.2,,17.099999999999998,0.0,7.600000000000001,2.0
5,5×5,18,21,,17.1,Simul_+30deg,19.8,6.53,,17.099999999999998,0.0,7.600000000000001,2.0
5,5×5,18,21,,17.1,Simul_+0deg,9.6,3.25,,17.099999999999998,0.0,7.600000000000001,2.0
5,5×5,18,21,,17.1,Simul_-30deg,4.8,1.93,,17.099999999999998,0.0,7.600000000000001,2.0
5,5×5,18,21,,17.1,Simul_-60deg,9.6,3.25,,17.099999999999998,0.0,7.600000000000001,2.0
5,5×5,19,21,,18.05,Simul_+60deg,23.3,7.59,,18.05,0.0,8.55,2.0
5,5×5,19,21,,18.05,Simul_+30deg,16.7,5.5,,18.05,0.0,8.55,2.0
5,5×5,19,21,,18.05,Simul_+0deg,7.5,2.63,,18.05,0.0,8.55,2.0
5,5×5,19,21,,18.05,Simul_-30deg,5.1,2.0,,18.05,0.0,8.55,2.0
5,5×5,19,21,,18.05,Simul_-60deg,9.0,3.03,,18.05,0.0,8.55,2.0
5,5×5,20,21,,19.0,Simul_+60deg,24.3,8.01,,19.0,0.0,9.5,2.0
5,5×5,20,21,,19.0,Simul_+30deg,17.0,5.6,,19.0,0.0,9.5,2.0
5,5×5,20,21,,19.0,Simul_+0deg,7.5,2.65,,19.0,0.0,9.5,2.0
5,5×5,20,21,,19.0,Simul_-30deg,5.4,2.1,,19.0,0.0,9.5,2.0
5,5×5,20,21,,19.0,Simul_-60deg,8.9,3.04,,19.0,0.0,9.5,2.0
