trajectory,system,waypoint,waypoint_count,trajectory_angle_deg,distance_along_m,rx_config_name,snr_db_log_rounded,capacity_bits_s_hz_log_rounded,trajectory_angle_deg_exact,distance_along_m_exact,tx_center_x_m,tx_center_y_m,tx_center_z_m
Linear,Lens,5,21,,4.75,Simul_-45deg,23.3,7.72,,4.75,0.0,-4.75,2.0
Linear,Lens,6,21,,5.7,Simul_+45deg,7.7,2.63,,5.699999999999999,0.0,-3.8,2.0
Linear,Lens,6,21,,5.7,Simul_+0deg,11.4,3.78,,5.699999999999999,0.0,-3.8,2.0
Linear,Lens,6,21,,5.7,Simul_-45deg,17.7,5.85,,5.699999999999999,0.0,-3.8,2.0
Linear,Lens,7,21,,6.65,Simul_+45deg,9.1,3.04,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Lens,7,21,,6.65,Simul_+0deg,17.8,5.85,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Lens,7,21,,6.65,Simul_-45deg,11.8,3.87,,6.6499999999999995,0.0,-2.8500000000000005,2.0
Linear,Lens,8,21,,7.6,Simul_+45deg,7.6,2.62,,7.6,0.0,-1.8999999999999995,2.0
Linear,Lens,8,21,,7.6,Simul_+0deg,24.4,8.08,,7.6,0.0,-1.8999999999999995,2.0
Linear,Lens,8,21,,7.6,Simul_-45deg,14.1,4.65,,7.6,0.0,-1.8999999999999995,2.0
Linear,Lens,9,21,,8.55,Simul_+45deg,10.9,3.61,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Lens,9,21,,8.55,Simul_+0deg,27.6,9.17,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Lens,9,21,,8.55,Simul_-45deg,11.2,3.71,,8.549999999999999,0.0,-0.9499999999999993,2.0
Linear,Lens,10,21,,9.5,Simul_+45deg,11.0,3.57,,9.5,0.0,0.0,2.0
Linear,Lens,10,21,,9.5,Simul_+0deg,29.2,9.68,,9.5,0.0,0.0,2.0
Linear,Lens,10,21,,9.5,Simul_-45deg,10.9,3.55,,9.5,0.0,0.0,2.0
Linear,Lens,11,21,,10.45,Simul_+45deg,11.2,3.71,,10.45,0.0,0.9500000000000011,2.0
Linear,Lens,11,21,,10.45,Simul_+0deg,27.6,9.17,,10.45,0.0,0.9500000000000011,2.0
Linear,Lens,11,21,,10.45,Simul_-45deg,10.8,3.55,,10.45,0.0,0.9500000000000011,2.0
Linear,Lens,12,21,,11.4,Simul_+45deg,14.6,4.81,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Lens,12,21,,11.4,Simul_+0deg,24.3,8.04,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Lens,12,21,,11.4,Simul_-45deg,7.8,2.69,,11.399999999999999,0.0,1.9000000000000004,2.0
Linear,Lens,13,21,,12.35,Simul_+45deg,11.6,3.83,,12.35,0.0,2.8499999999999996,2.0
Linear,Lens,13,21,,12.35,Simul_+0deg,17.6,5.79,,12.35,0.0,2.8499999999999996,2.0
Linear,Lens,13,21,,12.35,Simul_-45deg,8.8,2.98,,12.35,0.0,2.8499999999999996,2.0
Linear,Lens,14,21,,13.3,Simul_+45deg,18.1,5.99,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Lens,14,21,,13.3,Simul_+0deg,11.2,3.71,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Lens,14,21,,13.3,Simul_-45deg,7.9,2.67,,13.299999999999999,0.0,3.799999999999999,2.0
Linear,Lens,15,21,,14.25,Simul_+45deg,23.5,7.8,,14.25,0.0,4.75,2.0
Linear,Lens,15,21,,14.25,Simul_+0deg,9.5,3.17,,14.25,0.0,4.75,2.0
Linear,Lens,15,21,,14.25,Simul_-45deg,7.0,2.48,,14.25,0.0,4.75,2.0
Linear,Lens,16,21,,15.2,Simul_+45deg,24.8,8.25,,15.2,0.0,5.700000000000001,2.0
Linear,Lens,16,21,,15.2,Simul_+0deg,10.9,3.59,,15.2,0.0,5.700000000000001,2.0
Linear,Lens,16,21,,15.2,Simul_-45deg,6.8,2.42,,15.2,0.0,5.700000000000001,2.0
Linear,Lens,17,21,,16.15,Simul_+45deg,24.6,8.17,,16.15,0.0,6.649999999999999,2.0
Linear,Lens,17,21,,16.15,Simul_+0deg,7.5,2.56,,16.15,0.0,6.649999999999999,2.0
Linear,Lens,17,21,,16.15,Simul_-45deg,7.3,2.53,,16.15,0.0,6.649999999999999,2.0
Linear,Lens,18,21,,17.1,Simul_+45deg,23.3,7.75,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Lens,18,21,,17.1,Simul_+0deg,7.3,2.5,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Lens,18,21,,17.1,Simul_-45deg,6.9,2.43,,17.099999999999998,0.0,7.600000000000001,2.0
Linear,Lens,19,21,,18.05,Simul_+45deg,21.5,7.12,,18.05,0.0,8.55,2.0
Linear,Lens,19,21,,18.05,Simul_+0deg,5.2,1.99,,18.05,0.0,8.55,2.0
Linear,Lens,19,21,,18.05,Simul_-45deg,6.4,2.29,,18.05,0.0,8.55,2.0
Linear,Lens,20,21,,19.0,Simul_+45deg,20.2,6.64,,19.0,0.0,9.5,2.0
Linear,Lens,20,21,,19.0,Simul_+0deg,5.1,1.98,,19.0,0.0,9.5,2.0
Linear,Lens,20,21,,19.0,Simul_-45deg,6.3,2.31,,19.0,0.0,9.5,2.0
